"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.9178,68.008,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09360911091826800896938170_1_Front
-0.7107,58.119,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09360911091826800896938170_1_Front
-0.7149,61.0516,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09360911091826800896938170_1_Front
-0.7767,61.0847,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09360911091826800896938170_1_Front
-0.9124,67.8188,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09360911091826800896938170_1_Front
-0.9673,68.3596,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09360911091826800896938170_1_Front
-0.9178,68.008,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.7107,58.119,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.7149,61.0516,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.7767,61.0847,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.9124,67.8188,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.9673,68.3596,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.846,64.4484,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.7925,63.6521,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.9881,69.419,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.9443,68.3047,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.8897,67.243,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09361617609673605798258987_2_Front
-0.7107,58.119,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.7767,61.0847,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.9673,68.3596,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.846,64.4484,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.9881,69.419,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.9443,68.3047,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.8897,67.243,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.6514,58.0267,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.7799,61.1438,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.8095,62.1766,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.9281,67.2676,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.9696,68.4738,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.8397,64.1564,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.9955,69.7109,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.7149,61.0515,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936253330994553577438424_3_Front
-0.6514,58.0267,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.9955,69.7109,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.8897,67.243,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.7149,61.0515,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.7107,58.119,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.846,64.4484,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.7767,61.0847,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.7056,58.0325,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.9443,68.3047,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.7932,61.9741,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.8269,63.2346,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.9281,67.2676,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.8182,62.313,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.9312,67.5001,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.9746,68.653,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.7799,61.1438,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.8363,63.3814,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.8095,62.1766,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093635494909493672713847_4_Front
-0.6514,58.0267,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.9955,69.7109,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.8876,67.1299,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.7107,58.119,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.7149,61.0515,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.9746,68.653,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.846,64.4484,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.9443,68.3047,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.717,61.0785,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.7056,58.0325,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.7767,61.0847,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.8269,63.2346,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.9281,67.2676,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.7799,61.1438,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.8897,67.243,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.9312,67.5001,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.8439,64.3338,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936453025788875466221942_5_Front
-0.6514,58.0267,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.9955,69.7109,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.8876,67.1299,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.8465,64.4589,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.8187,62.3227,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.7107,58.119,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.7149,61.0515,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.7799,61.1438,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.9746,68.653,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.7767,61.0847,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.717,61.0785,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.7056,58.0325,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.8439,64.3338,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.9443,68.3047,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.9881,69.419,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.9281,67.2676,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.8897,67.243,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.8269,63.2346,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09365416735803637721336533_6_Front
-0.6514,58.0267,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.9955,69.7109,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.8876,67.1299,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.7107,58.1188,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.7119,60.9926,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.8465,64.4589,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.785,61.2211,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.9281,67.2676,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.8182,62.313,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.717,61.0785,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.7056,58.0325,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.7767,61.0847,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.9443,68.3047,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.9746,68.653,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.9881,69.419,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.8308,63.3225,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.8439,64.3338,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.8897,67.243,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937059298941237207826430_7_Front
-0.6514,58.0267,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371517495812349567487141_8_Front
-0.9955,69.7109,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371517495812349567487141_8_Front
-0.8876,67.1299,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371517495812349567487141_8_Front
-0.7119,60.9926,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371517495812349567487141_8_Front
-0.7107,58.1188,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371517495812349567487141_8_Front
-0.8308,63.3225,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropMin/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371517495812349567487141_8_Front
