case,seeding,percentage,kMeanIterations,Distance,fuzziness,epsilon,nMinPerCluster,dataPareto,population,Evaluations,MOGA
agricultural,NONE,0,-,-,-,-,-,FRONT,50,1500,NSGAII
agricultural,Random,25,-,-,-,-,-,FRONT,50,1500,NSGAII
agricultural,Random,50,-,-,-,-,-,FRONT,50,1500,NSGAII
agricultural,Random,75,-,-,-,-,-,FRONT,50,1500,NSGAII
agricultural,Random,100,-,-,-,-,-,FRONT,50,1500,NSGAII
agricultural,KMeans,25,1000,Euclidean,-,-,-,FRONT,50,1500,NSGAII
agricultural,KMeans,50,1000,Euclidean,-,-,-,FRONT,50,1500,NSGAII
agricultural,KMeans,75,1000,Euclidean,-,-,-,FRONT,50,1500,NSGAII
agricultural,KMeans,100,1000,Euclidean,-,-,-,FRONT,50,1500,NSGAII
agricultural,FuzzyKMeans,25,1000,Euclidean,1.05,-,-,FRONT,50,1500,NSGAII
agricultural,FuzzyKMeans,50,1000,Euclidean,1.05,-,-,FRONT,50,1500,NSGAII
agricultural,FuzzyKMeans,75,1000,Euclidean,1.05,-,-,FRONT,50,1500,NSGAII
agricultural,FuzzyKMeans,100,1000,Euclidean,1.05,-,-,FRONT,50,1500,NSGAII
agricultural,DBSCAN,25,-,-,-,0.2,2,FRONT,50,1500,NSGAII
agricultural,DBSCAN,50,-,-,-,0.2,2,FRONT,50,1500,NSGAII
agricultural,DBSCAN,75,-,-,-,0.2,2,FRONT,50,1500,NSGAII
agricultural,DBSCAN,100,-,-,-,0.2,2,FRONT,50,1500,NSGAII
